"slide_num","slide_title","image_purpose","filename","aspect_ratio","resolution","quality","prompt"
"1","Cover","Full-bleed hero behind cover headline","01-cover-bangkok-wat-arun.jpg","16:9","2560x1440","high","Photorealistic cinematic wide shot of Bangkok at golden
hour, viewed across the Chao Phraya river. Wat Arun
temple silhouetted in warm amber dusk light, the river
reflecting the burning sky. A single wooden long-tail
boat drifts in the middle distance. The skyline in the
background fading to soft purple. 35mm lens, side-light
from the setting sun, shallow depth of field on the
boat. No people in the foreground. Mood: monumental,
wistful, the quiet moment before a story begins.

Shot on 35mm film, real grain, warm color grading, deep navy shadows (#1a1a2e), accents of amber gold (#e8a020). Documentary editorial photography aesthetic, Cereal Magazine / Monocle / Kinfolk reference. No stock-photo polish, no posed smiles, no fake bokeh. Natural light only. Real authentic textures and imperfections. Photorealistic. Aspect ratio 16:9."
"3","A Note from Mike","Left-half portrait of founder Mike Maitland","03-mike-portrait.jpg","3:4","1600x2133","high","Photorealistic portrait of a Western man in his late
40s with short greying hair, a light beard, and warm
blue eyes. Casual blue button-up shirt, sleeves rolled.
He sits in a sunlit Thai cafe, soft window light from
his right side. Looking slightly off-camera, a
contemplative half-smile, the way someone looks when
they're about to tell you a true story. Real skin
texture, faint laugh-lines around the eyes, not posed.
A cup of Thai iced tea on the table, slightly blurred
in foreground. Background blurred warmly.

Shot on 35mm film, 50mm lens, shallow depth of field, real grain, real skin texture (pores, light wrinkles, faint freckles), warm natural daylight. Editorial documentary portrait, candid not staged. No glossy retouching, no laser-white teeth, no studio polish. Photorealistic. Aspect ratio 3:4."
"5","Why Thailand","Right-side hero behind reasons panel","05-night-market.jpg","3:2","2400x1600","high","Photorealistic candid wide shot of a Thai street night
market in full swing. Strings of warm paper lanterns
overhead glowing amber, a wok of pad thai mid-toss with
steam rising and orange flames briefly licking up.
Locals and travellers walking between stalls in soft
motion blur, a cyclist passing through frame. Deep navy
night sky above. A sliver of a temple roof in the far
distance. 35mm lens, low angle from chest height,
shallow depth of field on the stall in foreground.
Mood: alive, sensory, the smell of chilli and lime
almost visible.

Shot on 35mm film, real grain, warm color grading, deep navy shadows (#1a1a2e), accents of amber gold (#e8a020). Documentary editorial photography aesthetic, Cereal Magazine / Monocle / Kinfolk reference. No stock-photo polish, no posed smiles, no fake bokeh. Natural light only. Real authentic textures and imperfections. Photorealistic. Aspect ratio 3:2."
"6","A Day in Your Life — tuk-tuk","Top of collage, larger frame","06a-tuktuk.jpg","16:9","1920x1080","high","Photorealistic candid photograph of a brightly painted
three-wheeled Bangkok tuk-tuk parked on a side-street at
golden hour. The driver leans against the seat,
mid-laugh, talking to someone off-frame. Background
full of motorbikes, street vendors, signs in Thai
script in soft motion blur. Warm side-light from the
late sun. 35mm lens, shallow depth of field on the
tuk-tuk paintwork showing scratches and metallic wear.
Mood: kinetic, generous, ordinary-magical.

Shot on 35mm film, real grain, warm color grading, deep navy shadows (#1a1a2e), accents of amber gold (#e8a020). Documentary editorial photography aesthetic, Cereal Magazine / Monocle / Kinfolk reference. No stock-photo polish, no posed smiles, no fake bokeh. Natural light only. Real authentic textures and imperfections. Photorealistic. Aspect ratio 16:9."
"6","A Day in Your Life — beach","Bottom-left of collage","06b-beach.jpg","1:1","1200x1200","high","Photorealistic candid wide shot of two friends walking
barefoot along a tropical Thai beach at sunset, seen
from behind. Coconut palms framing the right side.
Calm sea reflecting amber and rose sky. Long shadows in
soft sand with visible footprint texture. Unposed,
walking away from camera. 35mm lens, real lens flare
from the low sun. Mood: easy, end-of-day, the kind of
friendship made in a single intake week.

Shot on 35mm film, real grain, warm color grading, deep navy shadows (#1a1a2e), accents of amber gold (#e8a020). Documentary editorial photography aesthetic, Cereal Magazine / Monocle / Kinfolk reference. No stock-photo polish, no posed smiles, no fake bokeh. Natural light only. Real authentic textures and imperfections. Photorealistic. Aspect ratio 1:1."
"6","A Day in Your Life — rooftop","Bottom-right of collage","06c-rooftop.jpg","1:1","1200x1200","high","Photorealistic candid shot of a small group of friends
(mixed nationalities, late 20s) gathered on a Bangkok
rooftop bar at dusk. The city skyline glowing in the
background. String lights overhead, sweating cocktail
glasses, easy laughter mid-conversation, no one looking
at the camera. 50mm lens, shallow depth of field on a
speaker mid-gesture, others in soft focus. Real skin
texture, real fabric wear on a denim jacket. Mood:
belonging, the cohort that became friends.

Shot on 35mm film, real grain, warm color grading, deep navy shadows (#1a1a2e), accents of amber gold (#e8a020). Documentary editorial photography aesthetic, Cereal Magazine / Monocle / Kinfolk reference. No stock-photo polish, no posed smiles, no fake bokeh. Natural light only. Real authentic textures and imperfections. Photorealistic. Aspect ratio 1:1."
"9","Orientation Week","Left-half image of cohort at a Thai temple","09-orientation-temple.jpg","4:5","1600x2000","high","Photorealistic candid photograph of a small group
(15–20 people, late 20s, mixed nationalities, sitting
in a row with shoes off) at a Thai temple during
cohort orientation week. They are listening to a Thai
monk seated in front, soft amber afternoon light
filtering through temple columns. Stone floor with
visible texture. Some in casual cotton shirts, one
woman in a respectful shawl over her shoulders. Eyes
on the monk, not the camera. 35mm lens, soft golden
backlight. Mood: humbled, attentive, the second day
of the rest of their life.

Shot on 35mm film, real grain, warm color grading, deep navy shadows (#1a1a2e), accents of amber gold (#e8a020). Documentary editorial photography aesthetic, Cereal Magazine / Monocle / Kinfolk reference. No stock-photo polish, no posed smiles, no fake bokeh. Natural light only. Real authentic textures and imperfections. Photorealistic. Aspect ratio 4:5."
"10","TESOL Course","Right-half image of TESOL course in session","10-tesol-classroom.jpg","4:5","1600x2000","high","Photorealistic candid photograph of a TESOL training
classroom in Hua Hin. A young Western trainee teacher
(late 20s, casual smart attire) stands at a whiteboard
mid-lesson, pointing at a grammar chart, laughing at
something a peer just said. The other 8–12 trainees
sit at desks watching, a few with laptops, real focus
on their faces. The trainer (an older British woman in
her 50s, glasses, warm presence) sits to the side
with a clipboard. Bright Thai afternoon light through
open windows. Real wear on the whiteboard, marker
stains. 35mm lens, slight side angle, real grain.
Mood: real classroom, real learning, real cohort.

Shot on 35mm film, real grain, warm color grading, deep navy shadows (#1a1a2e), accents of amber gold (#e8a020). Documentary editorial photography aesthetic, Cereal Magazine / Monocle / Kinfolk reference. No stock-photo polish, no posed smiles, no fake bokeh. Natural light only. Real authentic textures and imperfections. Photorealistic. Aspect ratio 4:5."
"11","Accreditation — TQUK","Official TQUK logo on light background","11a-tquk.png","1:1","600x600","medium","Use the official TQUK (Training Qualifications UK) logo
        — download from the awarding body. DO NOT generate. This is a
        registered trademark. Place on a clean white #ffffff or pale
        grey #f5f5f5 background, centered, with ~20% margin around the
        logo. Output as transparent PNG."
"11","Accreditation — Trinity","Trinity College London-tier badge","11b-trinity.png","1:1","600x600","medium","Use the official Trinity College London logo (if your
        TESOL is Trinity-accredited) OR a custom-designed editorial
        ""Trinity-tier course design"" badge: a circular mark, navy
        outline #1a1a2e on white background, inside the circle the
        text ""TRINITY-TIER"" in DM Mono uppercase amber, plus a small
        academic-style emblem. Transparent PNG."
